Feature,Importance
FIRE_Acres_Burned,-9.536743e-07
PRECIP,1.4712601
WIND_EventCount,-0.33649635
WIND_AvgMPH,-0.021241188
WIND_RunMiles,1.3921585
AQI_PM25,-0.36497593
AQI_PM10,-0.17545986
EARTHQUAKE_Total,0.1822977
PESTICIDE_Total,1.9409103
