feature,window_size,rmse
FIRE_Acres_Burned,1,1.8663521
FIRE_Acres_Burned,2,2.1749167
FIRE_Acres_Burned,3,1.719598
FIRE_Acres_Burned,4,1.6940328
FIRE_Acres_Burned,5,1.5016505
FIRE_Acres_Burned,6,1.0607052
FIRE_Acres_Burned,7,1.3302296
FIRE_Acres_Burned,8,0.9308346
FIRE_Acres_Burned,9,0.99204224
FIRE_Acres_Burned,10,0.78375113
FIRE_Acres_Burned,11,0.7994966
FIRE_Acres_Burned,12,0.8731181
PRECIP,1,2.1519775
PRECIP,2,2.0619583
PRECIP,3,2.3108163
PRECIP,4,2.1187541
PRECIP,5,2.2213438
PRECIP,6,2.1252282
PRECIP,7,1.89769
PRECIP,8,2.0026739
PRECIP,9,1.6799885
PRECIP,10,0.8846961
PRECIP,11,0.92914194
PRECIP,12,0.7782173
WIND_EventCount,1,2.5521023
WIND_EventCount,2,2.3136094
WIND_EventCount,3,2.5470939
WIND_EventCount,4,2.5564873
WIND_EventCount,5,2.4084644
WIND_EventCount,6,2.0508633
WIND_EventCount,7,2.042853
WIND_EventCount,8,2.2276878
WIND_EventCount,9,2.1264632
WIND_EventCount,10,2.1972141
WIND_EventCount,11,2.1974692
WIND_EventCount,12,1.9951134
WIND_AvgMPH,1,2.177857
WIND_AvgMPH,2,2.2238076
WIND_AvgMPH,3,2.2267509
WIND_AvgMPH,4,2.1890047
WIND_AvgMPH,5,2.1621237
WIND_AvgMPH,6,1.8736714
WIND_AvgMPH,7,1.7694784
WIND_AvgMPH,8,1.2732197
WIND_AvgMPH,9,1.6863952
WIND_AvgMPH,10,1.6801629
WIND_AvgMPH,11,1.5154265
WIND_AvgMPH,12,1.4960397
WIND_RunMiles,1,1.8111378
WIND_RunMiles,2,1.9407524
WIND_RunMiles,3,2.0210588
WIND_RunMiles,4,1.920615
WIND_RunMiles,5,2.104348
WIND_RunMiles,6,1.9630488
WIND_RunMiles,7,1.766297
WIND_RunMiles,8,2.0943072
WIND_RunMiles,9,2.0229836
WIND_RunMiles,10,2.4841573
WIND_RunMiles,11,1.8520148
WIND_RunMiles,12,1.7237407
AQI_PM25,1,1.7627939
AQI_PM25,2,2.2230632
AQI_PM25,3,2.4342318
AQI_PM25,4,2.2380614
AQI_PM25,5,2.8730412
AQI_PM25,6,2.812939
AQI_PM25,7,2.796077
AQI_PM25,8,2.604562
AQI_PM25,9,2.444734
AQI_PM25,10,2.5225155
AQI_PM25,11,2.1805499
AQI_PM25,12,3.2528584
AQI_PM10,1,2.429725
AQI_PM10,2,1.9993023
AQI_PM10,3,2.0402498
AQI_PM10,4,2.552216
AQI_PM10,5,2.7079637
AQI_PM10,6,2.2173803
AQI_PM10,7,2.3318324
AQI_PM10,8,2.2447317
AQI_PM10,9,1.5735873
AQI_PM10,10,1.8742652
AQI_PM10,11,1.8437455
AQI_PM10,12,1.3346109
EARTHQUAKE_Total,1,1.9260365
EARTHQUAKE_Total,2,2.0563416
EARTHQUAKE_Total,3,1.8551888
EARTHQUAKE_Total,4,1.9903991
EARTHQUAKE_Total,5,2.5654395
EARTHQUAKE_Total,6,2.1895647
EARTHQUAKE_Total,7,1.9982175
EARTHQUAKE_Total,8,2.4206645
EARTHQUAKE_Total,9,2.303499
EARTHQUAKE_Total,10,1.8687989
EARTHQUAKE_Total,11,2.1706042
EARTHQUAKE_Total,12,2.2121952
PESTICIDE_Total,1,2.38963
PESTICIDE_Total,2,2.3033876
PESTICIDE_Total,3,2.4187799
PESTICIDE_Total,4,2.4797869
PESTICIDE_Total,5,2.0444121
PESTICIDE_Total,6,2.0488508
PESTICIDE_Total,7,2.0930092
PESTICIDE_Total,8,2.4254932
PESTICIDE_Total,9,1.8736444
PESTICIDE_Total,10,2.2269182
PESTICIDE_Total,11,2.2028022
PESTICIDE_Total,12,2.0406265
RODENTICIDE_Total,1,1.9801855
RODENTICIDE_Total,2,2.2241793
RODENTICIDE_Total,3,2.4481523
RODENTICIDE_Total,4,2.144406
RODENTICIDE_Total,5,2.1956892
RODENTICIDE_Total,6,2.5589976
RODENTICIDE_Total,7,2.2487333
RODENTICIDE_Total,8,2.1873112
RODENTICIDE_Total,9,2.1713932
RODENTICIDE_Total,10,2.5975738
RODENTICIDE_Total,11,2.0354092
RODENTICIDE_Total,12,2.0920086
Avg_Monthly_DSCI,1,1.0878718
Avg_Monthly_DSCI,2,1.7985647
Avg_Monthly_DSCI,3,2.0656183
Avg_Monthly_DSCI,4,1.2497296
Avg_Monthly_DSCI,5,1.9971136
Avg_Monthly_DSCI,6,1.4950699
Avg_Monthly_DSCI,7,1.2866625
Avg_Monthly_DSCI,8,1.205927
Avg_Monthly_DSCI,9,1.4793489
Avg_Monthly_DSCI,10,1.8742137
Avg_Monthly_DSCI,11,1.9940368
Avg_Monthly_DSCI,12,1.4289451
