ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2011	29-APR-11	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	4.5	DIPHACINONE	.000225	2	A	G
NO	2011	17-JAN-11	FRESNO	10M15S16E27	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	600	ZINC PHOSPHIDE	12	70	A	A
NO	2011	17-JAN-11	FRESNO	10M15S16E35	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	210	ZINC PHOSPHIDE	4.2	35	A	A
NO	2011	17-JAN-11	FRESNO	10M16S17E05	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	150	ZINC PHOSPHIDE	3	25	A	A
NO	2011	29-APR-11	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	18	DIPHACINONE	.0009	1	A	G
NO	2011	23-SEP-11	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	15	DIPHACINONE	.00075	10	A	G
NO	2011	29-APR-11	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	24.5	DIPHACINONE	.001225	1	A	G
NO	2011	16-MAY-11	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	6	DIPHACINONE	.0003	10	A	G
NO	2011	29-APR-11	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	4.5	DIPHACINONE	.000225	1	A	G
NO	2011	16-JUN-11	FRESNO	10M15S24E30	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	3	DIPHACINONE	.0003	8	A	G
NO	2011	14-FEB-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	16	DIPHACINONE	.0016	5	A	G
NO	2011	20-JUN-11	FRESNO	10M15S24E30	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	3	DIPHACINONE	.0003	8	A	G
NO	2011	28-JAN-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	17	DIPHACINONE	.0017	5	A	G
NO	2011	22-JAN-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	17	DIPHACINONE	.0017	5	A	G
NO	2011	11-FEB-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	16	DIPHACINONE	.0016	5	A	G
NO	2011	08-FEB-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	16	DIPHACINONE	.0016	5	A	G
NO	2011	18-JAN-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	17	DIPHACINONE	.0017	5	A	G
NO	2011	15-JAN-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	10	DIPHACINONE	.001	3	A	G
NO	2011	20-MAY-11	FRESNO	10M15S24E30	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	3	DIPHACINONE	.0003	8	A	G
NO	2011	04-FEB-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	17	DIPHACINONE	.0017	5	A	G
NO	2011	31-JAN-11	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.01	17	DIPHACINONE	.0017	5	A	G
