ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2008	23-APR-08	FRESNO	10M15S24E24	ALMOND	P.C.Q. PELLETED RODENT BAIT	25	DIPHACINONE	.0025	17	A	G
NO	2008	25-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4.5	DIPHACINONE	.000225	50	A	G
NO	2008	13-JUN-08	FRESNO	10M13S21E24	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	3.5	DIPHACINONE	.000175	27	A	G
NO	2008	12-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	19	DIPHACINONE	.00095	35	A	G
NO	2008	12-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	3	DIPHACINONE	.00015	50	A	G
NO	2008	25-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	12.5	DIPHACINONE	.000625	35	A	G
NO	2008	25-JUN-08	FRESNO	10M13S21E24	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4.5	DIPHACINONE	.000225	27	A	G
NO	2008	12-AUG-08	FRESNO	10M13S21E24	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	1.5	DIPHACINONE	.000075	27	A	G
NO	2008	31-MAY-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	15	DIPHACINONE	.00075	114.33	A	G
NO	2008	06-MAR-08	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	5	DIPHACINONE	.0005	3	A	G
NO	2008	25-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	3	DIPHACINONE	.0003	10	A	G
NO	2008	25-JUN-08	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	7.5	DIPHACINONE	.00075	10	A	G
NO	2008	29-FEB-08	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	15	DIPHACINONE	.0015	3	A	G
NO	2008	29-APR-08	FRESNO	10M13S21E25	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	6	DIPHACINONE	.0006	3	A	G
NO	2008	07-MAR-08	FRESNO	10M16S20E33	ALMOND	ZP RODENT BAIT	49.68	ZINC PHOSPHIDE	.9936	92	A	G
NO	2008	13-OCT-08	FRESNO	10M16S17E02	ALMOND	ZP RODENT BAIT AG	50	ZINC PHOSPHIDE	1	410	A	G
NO	2008	04-JUL-08	FRESNO	10M16S21E26	ALMOND	ZP RODENT BAIT AG	100	ZINC PHOSPHIDE	2	35	A	G
NO	2008	26-JUN-08	FRESNO	10M16S21E26	ALMOND	ZP RODENT BAIT AG	100	ZINC PHOSPHIDE	2	35	A	G
NO	2008	24-MAY-08	FRESNO	10M16S21E26	ALMOND	ZP RODENT BAIT AG	50	ZINC PHOSPHIDE	1	35	A	G
NO	2008	28-FEB-08	FRESNO	10M16S19E20	ALMOND	ZP RODENT BAIT AG	250	ZINC PHOSPHIDE	5	480	A	G
NO	2008	24-APR-08	FRESNO	10M16S19E20	ALMOND	ZP RODENT BAIT AG	200	ZINC PHOSPHIDE	4	480	A	G
NO	2008	02-AUG-08	FRESNO	10M18S15E16	ALMOND	ZP RODENT BAIT AG	50	ZINC PHOSPHIDE	1	120	A	G
