ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2015	16-OCT-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	46	DIPHACINONE	.0023	15	A	G
NO	2015	10-JUN-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	38	DIPHACINONE	.0019	20	A	G
NO	2015	17-JUN-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	13	DIPHACINONE	.00065	5	A	G
NO	2015	08-FEB-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	9	DIPHACINONE	.00045	4	A	G
NO	2015	29-DEC-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	24	DIPHACINONE	.0012	15	A	G
NO	2015	08-JUL-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	30	DIPHACINONE	.0015	7	A	G
NO	2015	04-SEP-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	2	DIPHACINONE	.0001	8	A	G
NO	2015	18-MAY-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	34	DIPHACINONE	.0017	10	A	G
NO	2015	10-SEP-15	FRESNO	10M13S21E13	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN (1.00%)	2	ZINC PHOSPHIDE	.02	15	A	G
NO	2015	07-MAY-15	FRESNO	10M15S21E17	ALMOND	CDFA RODENT BAIT BLOCK DIPHACINONE	20	DIPHACINONE	.001	10	A	G
NO	2015	29-MAY-15	FRESNO	10M15S21E17	ALMOND	CDFA RODENT BAIT BLOCK DIPHACINONE	20	DIPHACINONE	.001	10	A	G
NO	2015	14-MAR-15	FRESNO	10M18S15E13	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	32	ZINC PHOSPHIDE	.64	164.7	A	G
NO	2015	06-MAR-15	FRESNO	10M18S16E30	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	29	ZINC PHOSPHIDE	.58	141	A	G
NO	2015	10-MAR-15	FRESNO	10M18S15E13	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	32	ZINC PHOSPHIDE	.64	158.2	A	G
NO	2015	17-MAR-15	FRESNO	10M20S16E05	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	39	ZINC PHOSPHIDE	.78	190.37	A	G
NO	2015	02-MAR-15	FRESNO	10M18S15E13	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	25	ZINC PHOSPHIDE	.5	120	A	G
NO	2015	20-MAR-15	FRESNO	10M20S16E09	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	43	ZINC PHOSPHIDE	.86	210.93	A	G
NO	2015	14-MAR-15	FRESNO	10M20S16E05	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	39	ZINC PHOSPHIDE	.78	186.72	A	G
NO	2015	24-MAR-15	FRESNO	10M16S17E28	ALMOND	PROZAP ZINC PHOSPHIDE RODENT PELLETS	33	ZINC PHOSPHIDE	.66	160	A	G
NO	2015	20-JAN-15	FRESNO	10M16S19E14	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	4.05	DIPHACINONE	.0002025	15	A	G
NO	2015	20-JAN-15	FRESNO	10M16S19E13	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	16.2	DIPHACINONE	.00081	60	A	G
NO	2015	08-MAY-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	14	DIPHACINONE	.0007	10	A	G
NO	2015	12-MAR-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	8	DIPHACINONE	.0004	6	A	G
NO	2015	18-MAY-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	12	DIPHACINONE	.0006	10	A	G
NO	2015	10-DEC-15	FRESNO	10M16S19E14	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	19.95	DIPHACINONE	.0009975	15	A	G
NO	2015	16-OCT-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	10	DIPHACINONE	.0005	3	A	G
NO	2015	16-OCT-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	20	DIPHACINONE	.001	10	A	G
NO	2015	08-JUL-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	9	DIPHACINONE	.00045	7	A	G
NO	2015	17-JUN-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	6	DIPHACINONE	.0003	5	A	G
NO	2015	29-DEC-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	16	DIPHACINONE	.0008	5	A	G
NO	2015	27-OCT-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	9	DIPHACINONE	.00045	5	A	G
NO	2015	14-JUN-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	1.5	DIPHACINONE	.000075	2	A	G
NO	2015	10-JUN-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	5	DIPHACINONE	.00025	7	A	G
NO	2015	08-FEB-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	12	DIPHACINONE	.0006	5	A	G
NO	2015	08-JUL-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	5	DIPHACINONE	.00025	3	A	G
NO	2015	14-MAY-15	FRESNO	10M15S20E16	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	25	DIPHACINONE	.00125	35	A	G
NO	2015	16-OCT-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	20	DIPHACINONE	.001	5	A	G
NO	2015	29-DEC-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	12	DIPHACINONE	.0006	5	A	G
NO	2015	08-FEB-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	8	DIPHACINONE	.0004	5	A	G
NO	2015	10-SEP-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	12	DIPHACINONE	.0006	5	A	G
NO	2015	09-SEP-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	1.5	DIPHACINONE	.000075	5	A	G
NO	2015	29-JUL-15	FRESNO	10M14S12E27	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	20	DIPHACINONE	.002	40	A	G
NO	2015	11-SEP-15	FRESNO	10M13S19E05	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	20	DIPHACINONE	.002	2	A	G
NO	2015	31-JUL-15	FRESNO	10M14S13E17	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	46	DIPHACINONE	.0046	92	A	G
NO	2015	04-SEP-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN (1.00%)	1.5	ZINC PHOSPHIDE	.015	3	A	G
NO	2015	10-SEP-15	FRESNO	10M13S22E18	ALMOND	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN (1.00%)	20	ZINC PHOSPHIDE	.2	10	A	G
NO	2015	23-JUN-15	FRESNO	10M16S17E28	ALMOND	ZP RODENT BAIT AG	20	ZINC PHOSPHIDE	.4	160	A	G
NO	2015	01-MAR-15	FRESNO	10	ANIMAL HUSBANDRY PREMISES	RAMPAGE RODENTICIDE PELLETS	5	BROMETHALIN	.0005	5	A	
