epoch,train_loss,test_loss
1,0.29377445578575134,0.08391913026571274
2,0.2870074510574341,0.0910860225558281
3,0.27458012104034424,0.10027545690536499
4,0.2642875611782074,0.1111256331205368
5,0.25476062297821045,0.12329670786857605
6,0.24827931821346283,0.13654012978076935
7,0.2424401193857193,0.15055057406425476
8,0.23298056423664093,0.16504397988319397
9,0.23528826236724854,0.17950546741485596
10,0.23261749744415283,0.19299837946891785
11,0.2371000200510025,0.2044849395751953
12,0.23288704454898834,0.2133023589849472
13,0.23678024113178253,0.2189394235610962
14,0.23985058069229126,0.22135435044765472
15,0.23652046918869019,0.2212763875722885
16,0.2387687861919403,0.21884265542030334
17,0.2408386617898941,0.21489912271499634
18,0.23349657654762268,0.2099473625421524
19,0.23395152390003204,0.20442649722099304
20,0.23431998491287231,0.19848689436912537
21,0.2291703075170517,0.19261480867862701
22,0.23412606120109558,0.1871809959411621
23,0.2285434454679489,0.18228742480278015
24,0.23290523886680603,0.17803646624088287
25,0.2309073656797409,0.17444811761379242
26,0.2337968796491623,0.17146830260753632
27,0.22798192501068115,0.16944311559200287
28,0.2302156239748001,0.1681409329175949
29,0.23128114640712738,0.16763520240783691
30,0.22933490574359894,0.16784314811229706
31,0.23265396058559418,0.16857478022575378
32,0.23039613664150238,0.1698610931634903
33,0.22906474769115448,0.17155319452285767
34,0.22940990328788757,0.17361323535442352
35,0.22674478590488434,0.17587588727474213
36,0.2284986525774002,0.17841272056102753
37,0.22773537039756775,0.1812797486782074
38,0.22841006517410278,0.18414416909217834
39,0.22693990170955658,0.1869027465581894
40,0.22683005034923553,0.18938709795475006
41,0.22846360504627228,0.1912098228931427
42,0.229046031832695,0.19256848096847534
43,0.2268514335155487,0.19333124160766602
44,0.2245689034461975,0.19365504384040833
45,0.22537259757518768,0.19350488483905792
46,0.224095419049263,0.19272923469543457
47,0.22585192322731018,0.19173754751682281
48,0.22522979974746704,0.19049035012722015
49,0.22496451437473297,0.18884588778018951
50,0.223038449883461,0.18708153069019318
51,0.22292914986610413,0.18548086285591125
52,0.2234864979982376,0.1838386058807373
53,0.22218559682369232,0.18240953981876373
54,0.22010625898838043,0.18134455382823944
55,0.21889755129814148,0.18064787983894348
56,0.22033406794071198,0.18029138445854187
57,0.21375566720962524,0.18057255446910858
58,0.21335668861865997,0.18143771588802338
59,0.21561865508556366,0.18242642283439636
60,0.21123825013637543,0.18352186679840088
61,0.21605904400348663,0.18504558503627777
62,0.21082216501235962,0.18570351600646973
63,0.21076832711696625,0.1859702616930008
64,0.20375800132751465,0.1862017810344696
65,0.20598778128623962,0.1855243295431137
66,0.20607814192771912,0.18369966745376587
67,0.2003832310438156,0.18210512399673462
68,0.19515103101730347,0.1813848465681076
69,0.19982975721359253,0.18014055490493774
70,0.192012757062912,0.17965593934059143
71,0.1912020444869995,0.1784893423318863
72,0.18705949187278748,0.17829743027687073
73,0.17724597454071045,0.17650873959064484
74,0.1719721555709839,0.173068568110466
75,0.17178696393966675,0.16908012330532074
76,0.16398966312408447,0.16092397272586823
77,0.16482271254062653,0.15363052487373352
78,0.16267959773540497,0.147671639919281
79,0.16210569441318512,0.1493709236383438
80,0.15860792994499207,0.14681942760944366
81,0.1540747433900833,0.13313817977905273
82,0.15863247215747833,0.12268698960542679
83,0.15909162163734436,0.13098394870758057
84,0.1584702581167221,0.13452179729938507
85,0.155367910861969,0.12847007811069489
86,0.15585635602474213,0.12055855989456177
87,0.15632827579975128,0.12052507698535919
88,0.1548754721879959,0.13306501507759094
89,0.15170340240001678,0.13954904675483704
90,0.1500004678964615,0.13993892073631287
91,0.14963261783123016,0.13323558866977692
92,0.14884799718856812,0.12998084723949432
93,0.1516629457473755,0.1389128565788269
94,0.1469830423593521,0.14803391695022583
95,0.14250360429286957,0.15023884177207947
96,0.1471935659646988,0.14408491551876068
97,0.14267365634441376,0.13587620854377747
98,0.1506095826625824,0.13682618737220764
99,0.1409555822610855,0.14219410717487335
100,0.15209569036960602,0.1453700214624405
101,0.14300930500030518,0.14366033673286438
102,0.15180708467960358,0.13442973792552948
103,0.1423032432794571,0.12596260011196136
104,0.1402909755706787,0.12227542698383331
105,0.14237450063228607,0.12516885995864868
106,0.14196550846099854,0.1277976781129837
107,0.14054962992668152,0.12223712354898453
108,0.14240533113479614,0.12134481221437454
109,0.1389714926481247,0.11783545464277267
110,0.14201249182224274,0.1186879426240921
111,0.14249064028263092,0.1234017163515091
112,0.14433933794498444,0.12731193006038666
113,0.14080096781253815,0.1269218772649765
114,0.14154335856437683,0.12214434146881104
115,0.13490243256092072,0.11620351672172546
116,0.14047302305698395,0.1204744353890419
117,0.1370806097984314,0.12993092834949493
118,0.14627794921398163,0.12766054272651672
119,0.1329977959394455,0.12329800426959991
120,0.1358424574136734,0.1241445243358612
