Feature,Importance,window_size
log1pFire,0.28333795,9
PRECIP,0.0062987804,11
WIND_EventCount,-0.026307821,12
WIND_AvgMPH,-0.06932175,9
WIND_RunMiles,-0.0702039,7
AQI_PM25,0.11436725,7
AQI_PM10,0.16659975,11
EARTHQUAKE_Total,-0.0002104044,11
log1pPESTICIDE,0.015675068,11
log1pRODENTICIDE,0.12331712,7
Avg_Monthly_DSCI,0.04108441,1
