Feature,Importance,window_size
FIRE_Acres_Burned,0.0,1
PRECIP,-0.0103292465,7
WIND_EventCount,0.0669198,2
WIND_AvgMPH,0.018588543,1
WIND_RunMiles,0.11358166,7
AQI_PM25,0.15179586,3
AQI_PM10,0.0071206093,2
EARTHQUAKE_Total,0.15003586,5
PESTICIDE_Total,0.28502083,1
POUNDS_PRODUCT_APPLIED,0.071798325,2
Avg_Monthly_DSCI,0.027927399,5
