Feature,Importance,window_size
log1p_FIRE_Acres_Burned,0.019253075,4
PRECIP,0.051844656,11
WIND_EventCount,0.0053113103,5
WIND_AvgMPH,0.015438199,6
WIND_RunMiles,0.0051316023,4
AQI_PM25,0.0025832057,7
AQI_PM10,0.010751486,5
EARTHQUAKE_Total,0.00074619055,1
YJ_PESTICIDE_Total,0.0032892227,1
log1p_RODENTICIDE_Total,-0.00059503317,1
Avg_Monthly_DSCI,1.2348619,9
