ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2011	28-JUL-11	KERN	15M28S25E31	ALMOND	RODENT BAIT BLOCK DIPHACINONE TREATED GRAIN/PARAFFIN (0.005%)	38	DIPHACINONE	.0019	38	A	G
NO	2011	28-JUL-11	KERN	15M28S25E31	ALMOND	RODENT BAIT BLOCK DIPHACINONE TREATED GRAIN/PARAFFIN (0.005%)	39	DIPHACINONE	.00195	39	A	G
NO	2011	24-JUN-11	KERN	15M27S22E36	ALMOND	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	100	CHLOROPHACINONE	.01	50	A	G
NO	2011	24-JUN-11	KERN	15M27S23E31	ALMOND	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	50	CHLOROPHACINONE	.005	25	A	G
NO	2011	02-MAY-11	KERN	15M27S23E31	ALMOND	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	150	CHLOROPHACINONE	.015	75	A	G
NO	2011	24-JUN-11	KERN	15M28S23E06	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	150	DIPHACINONE	.015	75	A	G
NO	2011	25-SEP-11	KERN	15M31S28E19	CARROTS, GENERAL	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	120	A	O
NO	2011	04-AUG-11	KERN	15M32S29E03	CARROTS, GENERAL	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.005)	79.66	CHLOROPHACINONE	.003983	39.83	A	G
NO	2011	01-JAN-11	KERN	15	COMMERCIAL, INSTITUTIONAL OR INDUSTRIAL AREAS	HAWK RODENTICIDE READY TO USE PLACE PAC	3.625	BROMADIOLONE	.00018125	8	U	
NO	2011	25-OCT-11	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	100	DIPHACINONE	.01	40	A	G
NO	2011	23-JAN-11	KERN	15M31S29E33	GRAPES, WINE	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	320	ZINC PHOSPHIDE	6.4	40	A	G
NO	2011	01-AUG-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	40	DIPHACINONE	.004			
NO	2011	01-FEB-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	1.1	DIPHACINONE	.00011			
NO	2011	01-OCT-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2011	01-AUG-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	40	DIPHACINONE	.004			
NO	2011	01-JUL-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2.5	DIPHACINONE	.00025			
NO	2011	01-JUN-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	5.2	DIPHACINONE	.00052			
NO	2011	01-OCT-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	8.25	DIPHACINONE	.000825			
NO	2011	01-JUN-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	22	DIPHACINONE	.0022			
NO	2011	01-SEP-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	9.25	DIPHACINONE	.000925			
NO	2011	01-JUL-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005			
NO	2011	01-APR-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	100	DIPHACINONE	.01			
NO	2011	01-JUN-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005			
NO	2011	01-JAN-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.6	DIPHACINONE	.00006			
NO	2011	01-NOV-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2011	01-NOV-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.5	DIPHACINONE	.00005			
NO	2011	01-SEP-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	15	DIPHACINONE	.0015			
NO	2011	01-OCT-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	4	DIPHACINONE	.0004			
NO	2011	01-FEB-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	1.1	DIPHACINONE	.00011			
NO	2011	01-DEC-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.5	DIPHACINONE	.00005			
NO	2011	01-DEC-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.25	DIPHACINONE	.000025			
NO	2011	01-JUN-11	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.5	DIPHACINONE	.00005			
NO	2011	01-SEP-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	29	DIPHACINONE	.00145			
NO	2011	01-OCT-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	1	DIPHACINONE	.00005			
NO	2011	01-JUN-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	21	DIPHACINONE	.00105			
NO	2011	01-OCT-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	30	DIPHACINONE	.0015			
NO	2011	01-JAN-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	2	DIPHACINONE	.0001			
NO	2011	01-NOV-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4	DIPHACINONE	.0002			
NO	2011	01-AUG-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	3	DIPHACINONE	.00015			
NO	2011	01-APR-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4	DIPHACINONE	.0002			
NO	2011	01-JUL-11	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4	DIPHACINONE	.0002			
