ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2008	18-JAN-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	40	DIPHACINONE	.004	40	A	G
NO	2008	30-JUL-08	KERN	15M30S29E36	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	15	DIPHACINONE	.0015	20	A	G
NO	2008	18-JAN-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	40	DIPHACINONE	.004	27	A	G
NO	2008	21-JUN-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	150	DIPHACINONE	.015	27	A	G
NO	2008	10-APR-08	KERN	15M30S29E36	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	25	DIPHACINONE	.0025	20	A	G
NO	2008	08-SEP-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	100	DIPHACINONE	.01	40	A	G
NO	2008	17-SEP-08	KERN	15M30S29E36	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	20	DIPHACINONE	.002	20	A	G
NO	2008	18-JAN-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	40	DIPHACINONE	.004	40	A	G
NO	2008	10-DEC-08	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002	40	A	G
NO	2008	29-MAR-08	KERN	15M27S27E07	GRAPES	P.C.Q. PELLETED RODENT BAIT	36	DIPHACINONE	.0036	300	A	G
NO	2008	21-MAY-08	KERN	15M27S27E08	GRAPES	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002	1.29	A	G
NO	2008	29-MAR-08	KERN	15M27S27E08	GRAPES	P.C.Q. PELLETED RODENT BAIT	31.2	DIPHACINONE	.00312	130	A	G
NO	2008	21-MAY-08	KERN	15M27S27E07	GRAPES	P.C.Q. PELLETED RODENT BAIT	6	DIPHACINONE	.0006	3	A	G
NO	2008	29-MAR-08	KERN	15M27S27E18	GRAPES	P.C.Q. PELLETED RODENT BAIT	25.5	DIPHACINONE	.00255	50	A	G
NO	2008	29-MAR-08	KERN	15M27S26E13	GRAPES	P.C.Q. PELLETED RODENT BAIT	20.8	DIPHACINONE	.00208	160	A	G
NO	2008	20-MAR-08	KERN	15M27S27E07	GRAPES	P.C.Q. PELLETED RODENT BAIT	14.93	DIPHACINONE	.001493	298.5	A	G
NO	2008	21-MAY-08	KERN	15M27S27E18	GRAPES	P.C.Q. PELLETED RODENT BAIT	62	DIPHACINONE	.0062	50	A	G
NO	2008	21-MAY-08	KERN	15M27S26E12	GRAPES	P.C.Q. PELLETED RODENT BAIT	46.62	DIPHACINONE	.004662	222	A	G
NO	2008	01-MAR-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.25	DIPHACINONE	.000025			
NO	2008	01-SEP-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	3	DIPHACINONE	.0003			
NO	2008	01-JAN-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.5	DIPHACINONE	.00005			
NO	2008	01-JUL-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.25	DIPHACINONE	.000025			
NO	2008	01-JAN-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.5	DIPHACINONE	.00005			
NO	2008	01-AUG-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2008	01-SEP-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2008	01-MAY-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.25	DIPHACINONE	.000025			
NO	2008	01-OCT-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	21	DIPHACINONE	.0021			
NO	2008	01-SEP-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2008	01-APR-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2008	01-JUL-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	4	DIPHACINONE	.0004			
NO	2008	01-JUL-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	4	DIPHACINONE	.0004			
NO	2008	01-AUG-08	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2008	01-JUL-08	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	11	DIPHACINONE	.00055			
NO	2008	01-AUG-08	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	3	DIPHACINONE	.00015			
NO	2008	01-JUN-08	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	5	DIPHACINONE	.0005			
NO	2008	01-SEP-08	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	1	DIPHACINONE	.0001			
