Feature,Importance,window_size
FIRE_Acres_Burned,-4.7683716e-07,1
PRECIP,-0.5166707,11
WIND_EventCount,-0.2833314,1
WIND_AvgMPH,0.30270672,2
WIND_RunMiles,0.09540987,2
AQI_PM25,-0.049256325,1
AQI_PM10,-0.8318291,5
EARTHQUAKE_Total,0.18121767,1
PESTICIDE_Total,1.119535,1
POUNDS_PRODUCT_APPLIED,-0.3828678,1
