feature,window_size,rmse
FIRE_Acres_Burned,1,2.989108
FIRE_Acres_Burned,2,3.0121114
FIRE_Acres_Burned,3,3.075928
FIRE_Acres_Burned,4,2.631861
FIRE_Acres_Burned,5,2.5888438
FIRE_Acres_Burned,6,2.4898832
FIRE_Acres_Burned,7,1.7857583
FIRE_Acres_Burned,8,2.2281165
FIRE_Acres_Burned,9,2.6482573
FIRE_Acres_Burned,10,2.815745
FIRE_Acres_Burned,11,3.273787
FIRE_Acres_Burned,12,2.8276327
PRECIP,1,3.0864305
PRECIP,2,3.1632226
PRECIP,3,3.0517786
PRECIP,4,3.1538768
PRECIP,5,3.1057625
PRECIP,6,3.4525294
PRECIP,7,3.813947
PRECIP,8,2.5619195
PRECIP,9,1.865268
PRECIP,10,2.0925667
PRECIP,11,1.6428038
PRECIP,12,0.9711283
WIND_EventCount,1,3.1570408
WIND_EventCount,2,3.1991308
WIND_EventCount,3,3.1322384
WIND_EventCount,4,2.9843783
WIND_EventCount,5,2.8828533
WIND_EventCount,6,2.8451867
WIND_EventCount,7,3.2456331
WIND_EventCount,8,3.1847513
WIND_EventCount,9,3.5066445
WIND_EventCount,10,2.887021
WIND_EventCount,11,3.7196784
WIND_EventCount,12,2.6401262
WIND_AvgMPH,1,3.0753026
WIND_AvgMPH,2,3.1047182
WIND_AvgMPH,3,2.7474747
WIND_AvgMPH,4,2.9857917
WIND_AvgMPH,5,3.118247
WIND_AvgMPH,6,2.6045678
WIND_AvgMPH,7,2.8110135
WIND_AvgMPH,8,3.7905996
WIND_AvgMPH,9,3.655572
WIND_AvgMPH,10,2.1852252
WIND_AvgMPH,11,2.840717
WIND_AvgMPH,12,2.7389376
WIND_RunMiles,1,3.075277
WIND_RunMiles,2,3.0866208
WIND_RunMiles,3,3.064804
WIND_RunMiles,4,2.521545
WIND_RunMiles,5,2.9993932
WIND_RunMiles,6,2.7810824
WIND_RunMiles,7,2.7105317
WIND_RunMiles,8,4.187529
WIND_RunMiles,9,2.6494389
WIND_RunMiles,10,2.726384
WIND_RunMiles,11,2.993878
WIND_RunMiles,12,3.4174092
AQI_PM25,1,3.0406904
AQI_PM25,2,3.05901
AQI_PM25,3,3.049039
AQI_PM25,4,3.0030558
AQI_PM25,5,3.3178568
AQI_PM25,6,3.179359
AQI_PM25,7,2.9548733
AQI_PM25,8,2.8765175
AQI_PM25,9,2.4721115
AQI_PM25,10,2.9020083
AQI_PM25,11,3.090543
AQI_PM25,12,3.7053466
AQI_PM10,1,3.0724204
AQI_PM10,2,3.1056867
AQI_PM10,3,3.2246313
AQI_PM10,4,3.1355636
AQI_PM10,5,3.5190384
AQI_PM10,6,3.0701487
AQI_PM10,7,2.8386214
AQI_PM10,8,2.323934
AQI_PM10,9,2.2621355
AQI_PM10,10,1.6948788
AQI_PM10,11,1.0130577
AQI_PM10,12,1.5955857
EARTHQUAKE_Total,1,3.1157024
EARTHQUAKE_Total,2,3.1515527
EARTHQUAKE_Total,3,3.0608082
EARTHQUAKE_Total,4,3.1650012
EARTHQUAKE_Total,5,3.283113
EARTHQUAKE_Total,6,3.0595453
EARTHQUAKE_Total,7,3.0607076
EARTHQUAKE_Total,8,3.239762
EARTHQUAKE_Total,9,3.1468344
EARTHQUAKE_Total,10,2.9466732
EARTHQUAKE_Total,11,2.5203123
EARTHQUAKE_Total,12,3.1417286
PESTICIDE_Total,1,3.0318341
PESTICIDE_Total,2,3.0810938
PESTICIDE_Total,3,3.132793
PESTICIDE_Total,4,3.3124268
PESTICIDE_Total,5,3.5526226
PESTICIDE_Total,6,4.832496
PESTICIDE_Total,7,3.1447043
PESTICIDE_Total,8,5.9765124
PESTICIDE_Total,9,2.9099276
PESTICIDE_Total,10,2.536677
PESTICIDE_Total,11,2.0083523
PESTICIDE_Total,12,4.452297
RODENTICIDE_Total,1,3.0627406
RODENTICIDE_Total,2,3.0974607
RODENTICIDE_Total,3,2.926424
RODENTICIDE_Total,4,3.370837
RODENTICIDE_Total,5,3.8703954
RODENTICIDE_Total,6,3.2091699
RODENTICIDE_Total,7,2.9124608
RODENTICIDE_Total,8,2.7546484
RODENTICIDE_Total,9,2.7245977
RODENTICIDE_Total,10,2.1999788
RODENTICIDE_Total,11,2.7540512
RODENTICIDE_Total,12,2.5484498
Avg_Monthly_DSCI,1,1.0566392
Avg_Monthly_DSCI,2,3.145375
Avg_Monthly_DSCI,3,2.6775012
Avg_Monthly_DSCI,4,2.0552738
Avg_Monthly_DSCI,5,3.718008
Avg_Monthly_DSCI,6,2.199524
Avg_Monthly_DSCI,7,1.6505488
Avg_Monthly_DSCI,8,1.0035046
Avg_Monthly_DSCI,9,0.9794982
Avg_Monthly_DSCI,10,1.5559716
Avg_Monthly_DSCI,11,1.9208938
Avg_Monthly_DSCI,12,1.2431408
