Feature,Importance
FIRE_Acres_Burned,-0.00041413307
PRECIP,0.31294513
WIND_EventCount,-0.10906458
WIND_AvgMPH,0.016891956
WIND_RunMiles,-0.02025199
AQI_PM25,-0.0076321363
AQI_PM10,0.12648928
EARTHQUAKE_Total,0.008696198
PESTICIDE_Total,0.052793026
POUNDS_PRODUCT_APPLIED,0.02118671
