feature,window_size,rmse
FIRE_Acres_Burned,1,2.992404
FIRE_Acres_Burned,2,2.9758766
FIRE_Acres_Burned,3,2.773466
FIRE_Acres_Burned,4,2.590543
FIRE_Acres_Burned,5,2.0777488
FIRE_Acres_Burned,6,2.371336
FIRE_Acres_Burned,7,1.655352
FIRE_Acres_Burned,8,2.2498918
FIRE_Acres_Burned,9,1.3857867
FIRE_Acres_Burned,10,2.3741736
FIRE_Acres_Burned,11,2.0152233
FIRE_Acres_Burned,12,2.3779898
PRECIP,1,3.0099373
PRECIP,2,3.0992036
PRECIP,3,3.0351791
PRECIP,4,2.9846463
PRECIP,5,2.9620728
PRECIP,6,2.9656403
PRECIP,7,2.8204837
PRECIP,8,2.7690325
PRECIP,9,2.783502
PRECIP,10,1.4722415
PRECIP,11,2.6581156
PRECIP,12,2.6874795
WIND_EventCount,1,3.0065174
WIND_EventCount,2,3.1259856
WIND_EventCount,3,3.062966
WIND_EventCount,4,3.0107348
WIND_EventCount,5,3.0042148
WIND_EventCount,6,3.04219
WIND_EventCount,7,2.8875198
WIND_EventCount,8,2.896299
WIND_EventCount,9,2.9222157
WIND_EventCount,10,2.9056644
WIND_EventCount,11,2.7549307
WIND_EventCount,12,2.8494234
WIND_AvgMPH,1,2.991469
WIND_AvgMPH,2,3.0732148
WIND_AvgMPH,3,2.991144
WIND_AvgMPH,4,2.9459743
WIND_AvgMPH,5,2.890603
WIND_AvgMPH,6,2.915748
WIND_AvgMPH,7,2.7911
WIND_AvgMPH,8,2.640556
WIND_AvgMPH,9,2.7570524
WIND_AvgMPH,10,2.782988
WIND_AvgMPH,11,2.730173
WIND_AvgMPH,12,2.716428
WIND_RunMiles,1,2.9906018
WIND_RunMiles,2,3.0574374
WIND_RunMiles,3,2.9927745
WIND_RunMiles,4,2.9392202
WIND_RunMiles,5,2.9046714
WIND_RunMiles,6,2.785232
WIND_RunMiles,7,2.7664597
WIND_RunMiles,8,2.6862721
WIND_RunMiles,9,2.7606697
WIND_RunMiles,10,2.7684848
WIND_RunMiles,11,2.7093525
WIND_RunMiles,12,2.7380533
AQI_PM25,1,2.9203525
AQI_PM25,2,3.0553458
AQI_PM25,3,2.989691
AQI_PM25,4,2.9606116
AQI_PM25,5,2.949376
AQI_PM25,6,2.9631999
AQI_PM25,7,2.8647032
AQI_PM25,8,2.8910625
AQI_PM25,9,2.8080816
AQI_PM25,10,2.8613794
AQI_PM25,11,2.7652316
AQI_PM25,12,2.9566734
AQI_PM10,1,2.9453933
AQI_PM10,2,3.0681324
AQI_PM10,3,2.9745705
AQI_PM10,4,2.9271214
AQI_PM10,5,2.8862658
AQI_PM10,6,2.8497903
AQI_PM10,7,2.6111815
AQI_PM10,8,2.69263
AQI_PM10,9,1.9377891
AQI_PM10,10,2.6971538
AQI_PM10,11,1.5163411
AQI_PM10,12,1.7400793
EARTHQUAKE_Total,1,3.0671616
EARTHQUAKE_Total,2,3.1292782
EARTHQUAKE_Total,3,3.03159
EARTHQUAKE_Total,4,2.992622
EARTHQUAKE_Total,5,2.9617448
EARTHQUAKE_Total,6,3.0084484
EARTHQUAKE_Total,7,2.873626
EARTHQUAKE_Total,8,2.8914483
EARTHQUAKE_Total,9,2.8960133
EARTHQUAKE_Total,10,2.8881285
EARTHQUAKE_Total,11,2.7933526
EARTHQUAKE_Total,12,2.8183477
PESTICIDE_Total,1,3.0171487
PESTICIDE_Total,2,3.12657
PESTICIDE_Total,3,2.9825168
PESTICIDE_Total,4,2.9605808
PESTICIDE_Total,5,2.9282138
PESTICIDE_Total,6,2.958708
PESTICIDE_Total,7,2.8617053
PESTICIDE_Total,8,2.8545053
PESTICIDE_Total,9,2.8418214
PESTICIDE_Total,10,2.8609896
PESTICIDE_Total,11,2.7679582
PESTICIDE_Total,12,2.7862132
RODENTICIDE_Total,1,3.05396
RODENTICIDE_Total,2,3.0984702
RODENTICIDE_Total,3,3.0014327
RODENTICIDE_Total,4,2.9708316
RODENTICIDE_Total,5,2.9511561
RODENTICIDE_Total,6,2.9347694
RODENTICIDE_Total,7,2.8221495
RODENTICIDE_Total,8,2.8431537
RODENTICIDE_Total,9,2.837645
RODENTICIDE_Total,10,2.8604763
RODENTICIDE_Total,11,2.768327
RODENTICIDE_Total,12,2.7961738
Avg_Monthly_DSCI,1,1.0713178
Avg_Monthly_DSCI,2,4.2412786
Avg_Monthly_DSCI,3,2.2476442
Avg_Monthly_DSCI,4,3.7265103
Avg_Monthly_DSCI,5,3.9896398
Avg_Monthly_DSCI,6,2.9067025
Avg_Monthly_DSCI,7,2.969568
Avg_Monthly_DSCI,8,2.9805827
Avg_Monthly_DSCI,9,3.100535
Avg_Monthly_DSCI,10,2.9771929
Avg_Monthly_DSCI,11,3.0605028
Avg_Monthly_DSCI,12,3.437485
