Feature,Importance,window_size
FIRE_Acres_Burned,-0.0032690018,12
PRECIP,0.021314755,11
WIND_EventCount,0.0015395731,12
WIND_AvgMPH,-0.008311972,9
WIND_RunMiles,0.007420197,12
AQI_PM25,0.00965859,7
AQI_PM10,0.010053173,12
EARTHQUAKE_Total,0.002566561,9
PESTICIDE_Total,0.0038705617,11
RODENTICIDE_Total,0.008598551,11
Avg_Monthly_DSCI,0.014956906,2
