Feature,Importance
FIRE_Acres_Burned,-9.536743e-07
PRECIP,-0.06257725
WIND_EventCount,-0.08240223
WIND_AvgMPH,0.28243542
WIND_RunMiles,0.27855015
AQI_PM25,0.010866165
AQI_PM10,0.08116245
EARTHQUAKE_Total,-0.12006283
PESTICIDE_Total,0.43584824
