Feature,Importance,window_size
FIRE_Acres_Burned,0.0,1
PRECIP,-0.030169964,1
WIND_EventCount,0.65545917,5
WIND_AvgMPH,1.0341542,8
WIND_RunMiles,0.20966697,2
AQI_PM25,0.01146245,1
AQI_PM10,0.15299034,10
EARTHQUAKE_Total,0.000541687,1
PESTICIDE_Total,-0.0006275177,1
RODENTICIDE_Total,-0.019036531,1
Avg_Monthly_DSCI,-0.34856057,10
