feature,window_size,rmse
FIRE_Acres_Burned,1,1.0730964
FIRE_Acres_Burned,2,1.4160699
FIRE_Acres_Burned,3,1.0321951
FIRE_Acres_Burned,4,1.3050534
FIRE_Acres_Burned,5,0.9470385
FIRE_Acres_Burned,6,1.0516431
FIRE_Acres_Burned,7,0.92020714
FIRE_Acres_Burned,8,1.29432
FIRE_Acres_Burned,9,1.4063181
FIRE_Acres_Burned,10,1.2818869
FIRE_Acres_Burned,11,0.9945613
FIRE_Acres_Burned,12,1.0312676
PRECIP,1,1.0846752
PRECIP,2,1.0723945
PRECIP,3,1.3186908
PRECIP,4,1.1323125
PRECIP,5,1.1992989
PRECIP,6,1.1014463
PRECIP,7,1.0712914
PRECIP,8,1.6098343
PRECIP,9,1.2208652
PRECIP,10,1.0639671
PRECIP,11,1.6001965
PRECIP,12,1.1527251
WIND_EventCount,1,1.8720328
WIND_EventCount,2,1.4158683
WIND_EventCount,3,1.684373
WIND_EventCount,4,1.8219588
WIND_EventCount,5,1.5175837
WIND_EventCount,6,1.0553497
WIND_EventCount,7,1.0789906
WIND_EventCount,8,1.2371093
WIND_EventCount,9,1.0868205
WIND_EventCount,10,1.2211765
WIND_EventCount,11,1.1282666
WIND_EventCount,12,1.1340704
WIND_AvgMPH,1,1.122482
WIND_AvgMPH,2,1.2444198
WIND_AvgMPH,3,1.2726667
WIND_AvgMPH,4,1.3124485
WIND_AvgMPH,5,1.5414245
WIND_AvgMPH,6,1.037099
WIND_AvgMPH,7,1.0950674
WIND_AvgMPH,8,1.4774996
WIND_AvgMPH,9,1.0587541
WIND_AvgMPH,10,1.1322625
WIND_AvgMPH,11,1.1727325
WIND_AvgMPH,12,1.1821632
WIND_RunMiles,1,1.2010969
WIND_RunMiles,2,1.0346506
WIND_RunMiles,3,1.0327559
WIND_RunMiles,4,1.0231711
WIND_RunMiles,5,1.2151258
WIND_RunMiles,6,1.065837
WIND_RunMiles,7,1.1286656
WIND_RunMiles,8,1.5767233
WIND_RunMiles,9,1.5227631
WIND_RunMiles,10,1.1021425
WIND_RunMiles,11,1.042335
WIND_RunMiles,12,1.2841256
AQI_PM25,1,1.2598473
AQI_PM25,2,1.3024082
AQI_PM25,3,1.6447542
AQI_PM25,4,1.3569149
AQI_PM25,5,1.7196596
AQI_PM25,6,1.7215002
AQI_PM25,7,1.8564084
AQI_PM25,8,1.3669626
AQI_PM25,9,1.172542
AQI_PM25,10,1.0636269
AQI_PM25,11,1.0727832
AQI_PM25,12,1.6659856
AQI_PM10,1,1.6847361
AQI_PM10,2,1.0415792
AQI_PM10,3,1.051385
AQI_PM10,4,2.2505715
AQI_PM10,5,1.8385315
AQI_PM10,6,1.1980639
AQI_PM10,7,1.366602
AQI_PM10,8,1.3655686
AQI_PM10,9,1.1536031
AQI_PM10,10,1.6131067
AQI_PM10,11,1.5263766
AQI_PM10,12,0.9998703
EARTHQUAKE_Total,1,1.054536
EARTHQUAKE_Total,2,1.0869503
EARTHQUAKE_Total,3,1.168415
EARTHQUAKE_Total,4,1.0587871
EARTHQUAKE_Total,5,1.9236571
EARTHQUAKE_Total,6,1.1871717
EARTHQUAKE_Total,7,1.0636714
EARTHQUAKE_Total,8,1.6480676
EARTHQUAKE_Total,9,1.4042029
EARTHQUAKE_Total,10,1.2160444
EARTHQUAKE_Total,11,1.2476276
EARTHQUAKE_Total,12,1.3836404
PESTICIDE_Total,1,1.4890816
PESTICIDE_Total,2,1.3651928
PESTICIDE_Total,3,1.6007761
PESTICIDE_Total,4,1.7615514
PESTICIDE_Total,5,1.0740415
PESTICIDE_Total,6,1.0562421
PESTICIDE_Total,7,1.3264927
PESTICIDE_Total,8,1.3033954
PESTICIDE_Total,9,1.1580528
PESTICIDE_Total,10,1.606216
PESTICIDE_Total,11,1.079092
PESTICIDE_Total,12,1.1468792
RODENTICIDE_Total,1,1.0267568
RODENTICIDE_Total,2,1.2454982
RODENTICIDE_Total,3,1.6521457
RODENTICIDE_Total,4,1.120953
RODENTICIDE_Total,5,1.1602961
RODENTICIDE_Total,6,1.3994318
RODENTICIDE_Total,7,1.3079058
RODENTICIDE_Total,8,1.1846548
RODENTICIDE_Total,9,1.5466919
RODENTICIDE_Total,10,1.9135292
RODENTICIDE_Total,11,1.1830705
RODENTICIDE_Total,12,1.1804124
Avg_Monthly_DSCI,1,1.1732938
Avg_Monthly_DSCI,2,1.0554638
Avg_Monthly_DSCI,3,1.6302171
Avg_Monthly_DSCI,4,1.0550153
Avg_Monthly_DSCI,5,1.950881
Avg_Monthly_DSCI,6,1.7669392
Avg_Monthly_DSCI,7,1.2537938
Avg_Monthly_DSCI,8,1.189534
Avg_Monthly_DSCI,9,1.9009858
Avg_Monthly_DSCI,10,2.2139018
Avg_Monthly_DSCI,11,2.6107771
Avg_Monthly_DSCI,12,1.137287
