feature,window_size,rmse
AQI_PM10,4,6.022594
AQI_PM25,1,8.783971
EARTHQUAKE_Total,2,8.451228
FIRE_Acres_Burned,2,8.225402
PESTICIDE_Total,1,8.594257
POUNDS_PRODUCT_APPLIED,3,8.477809
PRECIP,8,4.747187
WIND_AvgMPH,2,9.130498
WIND_EventCount,1,8.559423
WIND_RunMiles,11,8.2390585
