,feature,window_size,rmse,run
101,FIRE_Acres_Burned,8,1.6495822668075562,1
102,FIRE_Acres_Burned,8,1.5326921939849854,2
103,FIRE_Acres_Burned,8,1.6137635707855225,3
104,FIRE_Acres_Burned,8,1.7093708515167236,4
105,FIRE_Acres_Burned,8,1.5609197616577148,5
106,FIRE_Acres_Burned,8,1.647687315940857,6
107,FIRE_Acres_Burned,8,1.6189804077148438,7
108,FIRE_Acres_Burned,8,1.573825716972351,8
109,FIRE_Acres_Burned,8,1.6223039627075195,9
110,FIRE_Acres_Burned,8,1.5128341913223267,10
111,FIRE_Acres_Burned,8,1.9022921323776245,11
112,FIRE_Acres_Burned,8,1.8302209377288818,12
113,FIRE_Acres_Burned,8,1.5174700021743774,13
114,FIRE_Acres_Burned,8,1.371783971786499,14
115,FIRE_Acres_Burned,8,1.6436220407485962,15
116,FIRE_Acres_Burned,8,1.4696449041366577,16
117,FIRE_Acres_Burned,8,1.6015654802322388,17
118,FIRE_Acres_Burned,8,1.553400993347168,18
119,FIRE_Acres_Burned,8,1.647547960281372,19
120,FIRE_Acres_Burned,8,1.6373900175094604,20
121,FIRE_Acres_Burned,8,1.6188377141952515,21
122,FIRE_Acres_Burned,8,1.6308623552322388,22
123,FIRE_Acres_Burned,8,1.5462969541549683,23
124,FIRE_Acres_Burned,8,1.6156373023986816,24
125,FIRE_Acres_Burned,8,1.440492868423462,25
126,FIRE_Acres_Burned,8,1.5558358430862427,26
127,FIRE_Acres_Burned,8,1.3156790733337402,27
128,FIRE_Acres_Burned,8,1.6239176988601685,28
129,FIRE_Acres_Burned,8,1.6023461818695068,29
130,FIRE_Acres_Burned,8,1.5725754499435425,30
131,FIRE_Acres_Burned,8,1.6487337350845337,31
132,FIRE_Acres_Burned,8,1.6570075750350952,32
133,FIRE_Acres_Burned,8,1.376024603843689,33
134,FIRE_Acres_Burned,8,1.5565184354782104,34
135,FIRE_Acres_Burned,8,1.4997389316558838,35
136,FIRE_Acres_Burned,8,1.689296007156372,36
137,FIRE_Acres_Burned,8,1.6471548080444336,37
138,FIRE_Acres_Burned,8,1.5852904319763184,38
139,FIRE_Acres_Burned,8,1.598158836364746,39
140,FIRE_Acres_Burned,8,1.6474831104278564,40
141,FIRE_Acres_Burned,8,1.5280953645706177,41
142,FIRE_Acres_Burned,8,1.5837512016296387,42
143,FIRE_Acres_Burned,8,1.5102194547653198,43
144,FIRE_Acres_Burned,8,1.4761682748794556,44
145,FIRE_Acres_Burned,8,1.6565953493118286,45
146,FIRE_Acres_Burned,8,1.6443045139312744,46
147,FIRE_Acres_Burned,8,1.5496197938919067,47
148,FIRE_Acres_Burned,8,1.56847083568573,48
149,FIRE_Acres_Burned,8,1.6119537353515625,49
150,FIRE_Acres_Burned,12,1.1534364223480225,0
151,FIRE_Acres_Burned,12,1.4578551054000854,1
152,FIRE_Acres_Burned,12,1.3388731479644775,2
153,FIRE_Acres_Burned,12,1.2689998149871826,3
154,FIRE_Acres_Burned,12,1.5409144163131714,4
155,FIRE_Acres_Burned,12,1.2425955533981323,5
156,FIRE_Acres_Burned,12,1.3309059143066406,6
157,FIRE_Acres_Burned,12,1.3752306699752808,7
158,FIRE_Acres_Burned,12,1.794654369354248,8
159,FIRE_Acres_Burned,12,1.630242943763733,9
160,FIRE_Acres_Burned,12,1.6640669107437134,10
161,FIRE_Acres_Burned,12,1.4217609167099,11
162,FIRE_Acres_Burned,12,1.5216245651245117,12
163,FIRE_Acres_Burned,12,1.580332636833191,13
164,FIRE_Acres_Burned,12,1.4792060852050781,14
165,FIRE_Acres_Burned,12,1.4228124618530273,15
166,FIRE_Acres_Burned,12,1.2210370302200317,16
167,FIRE_Acres_Burned,12,1.46112859249115,17
168,FIRE_Acres_Burned,12,1.4614043235778809,18
169,FIRE_Acres_Burned,12,1.2244890928268433,19
170,FIRE_Acres_Burned,12,1.2258046865463257,20
171,FIRE_Acres_Burned,12,1.372096300125122,21
172,FIRE_Acres_Burned,12,1.538578748703003,22
173,FIRE_Acres_Burned,12,1.2947721481323242,23
174,FIRE_Acres_Burned,12,1.2779937982559204,24
175,FIRE_Acres_Burned,12,1.5785053968429565,25
