YEAR_MONTH,VFRate,log1pFire,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,log1pPESTICIDE,log1pRODENTICIDE,Avg_Monthly_DSCI
2008-10-01,6.15634928487407,5.105399870540679,0.18,0.0,3.667741935,87.82580645,70.0,53.0,0,3.180386553266315,6.66362235897265,515.4225
2008-11-01,3.407979068412431,2.9069010598473755,1.49,0.0,3.106666667,74.49,95.5,38.5,0,0.4182647092660586,6.247419856488475,501.69
2008-12-01,6.486153710849466,0.0,1.19,0.0,3.306451613,79.31290323,94.0,18.5,0,0.0,5.47966970380044,501.5299999999999
2009-01-01,6.619799930112276,0.6931471805599453,1.25,0.0,2.587096774,62.01935484,102.0,33.0,0,3.243779146965082,5.981911309902695,502.295
2009-02-01,5.7516294474746,3.367295829986474,2.33,0.0,3.928571429,94.09642857,51.5,13.0,0,4.284177911117118,5.929931372057026,501.995
2009-03-01,3.90676717186954,2.8039662579320366,0.32,1.0,4.680645161,112.2741935,42.0,22.0,0,6.55047709298664,9.843345289678403,464.592
2009-04-01,5.643108137144891,3.664842876285695,0.5900000000000001,2.0,5.55,133.32,46.5,19.0,0,8.202138955288788,7.086005643039243,469.96
2009-05-01,4.2323311028586685,4.116758157059,0.41,0.0,5.880645161,141.0967742,58.0,26.5,1,8.946988981025617,7.89425221529036,469.96
2009-06-01,5.3175442061557625,4.825910852685991,0.48,0.0,5.753333333,138.1733333,49.0,28.5,0,7.016756659550167,7.717895538820625,471.16
2009-07-01,3.364160620220993,5.632393878568548,0.0,0.0,5.267741935,126.5548387,57.0,26.0,0,6.414827114419802,7.371909521372305,471.16
2009-08-01,4.666416344177506,3.58407433974781,0.0,0.0,4.574193548,109.8129032,62.0,50.0,0,6.493478492264719,6.8287793853933785,471.16
2009-09-01,3.364160620220993,4.8160791996339585,0.02,0.0,4.29,103.0666667,60.0,49.5,0,5.5165615611908105,6.7721764203002195,471.16
2009-10-01,4.340852413188378,2.7862450486872667,1.37,2.0,4.235483871,101.5,61.0,29.5,5,3.807985614055199,6.97608968039191,325.42
2009-11-01,2.3874688272536075,1.9242486522741338,0.2299999999999999,0.0,3.11,74.55666667,82.5,40.0,1,0.29780506166596304,7.832262324318421,179.17000000000002
2009-12-01,3.4726819305507024,1.7934247485471162,2.5,1.0,3.716129032,89.17419355,100.0,25.0,0,1.1150258134255964,6.050325496921817,179.0
2010-01-01,3.540005277826051,0.6931471805599453,2.02,1.0,3.990322581,95.83548387,73.0,25.0,0,3.343960607105027,6.355897395536166,145.8
2010-02-01,1.5018204208959005,0.6931471805599453,2.94,0.0,3.421428571,82.34642857,62.5,28.0,0,6.81649862035898,6.539673379541751,52.32
2010-03-01,1.9309119697233,0.7419373447293773,1.0,0.0,4.435483871,106.5258065,55.0,21.5,0,8.608173745412152,6.813635130809205,52.588
2010-04-01,2.2527306313438507,0.9555114450274363,2.53,0.0,4.91,117.9266667,54.0,26.0,0,7.803884390245723,6.957511833189117,51.685
2010-05-01,2.1454577441370004,4.160288345516135,0.17,2.0,5.822580645,139.7032258,51.0,22.0,0,7.27506604289149,7.295299156856231,24.0025
2010-06-01,5.363644360342501,6.722196487995198,0.0,1.0,6.503333333,156.14,51.0,27.5,0,6.823329291391246,8.313673231764442,0.372
2010-07-01,7.187283442858952,5.8941824243014285,0.0,0.0,5.016129032,120.3806452,61.0,36.0,0,7.810653303416062,7.128499313757764,0.27
2010-08-01,10.190924284650752,4.152927886320998,0.0,0.0,4.616129032,110.6548387,58.0,42.0,0,6.750433131731068,7.118133296475274,0.27
2010-09-01,12.2291091415809,3.85248529271195,0.0,0.0,3.893333333,93.31666667,59.0,52.5,0,5.591240543510295,8.459701039539004,0.27
2010-10-01,13.838202449683653,2.915064370486536,0.65,0.0,3.764516129,90.5516129,64.0,22.0,0,3.3204897813298095,6.967380436794899,0.0675
2010-11-01,9.76183273582335,1.6789639750827108,2.01,0.0,3.286666667,78.96666667,82.5,24.5,0,2.965659620213581,8.421260824093396,0.0
2010-12-01,7.830920766100051,0.0,5.74,0.0,3.606451613,86.69354839,80.0,24.0,0,3.948957221923748,6.510045073735786,17.84
2011-01-01,6.168860866661136,0.0,1.8,0.0,2.903225806,69.55483871,84.0,21.0,1,4.436243166112629,7.70533026536129,0.0
2011-02-01,5.105264165512664,0.7466879474879752,1.48,0.0,3.814285714,91.525,63.0,26.0,0,6.604792737545878,6.292108438554915,0.0
2011-03-01,6.487939877005677,2.4553061800117097,3.49,0.0,4.9,117.6774194,53.0,11.0,0,9.227027132615369,9.648064671824983,0.0
2011-04-01,5.424343175857206,3.312730400339825,0.23,0.0,5.303333333,127.32,53.0,13.0,1,8.675241356137953,7.271761662122454,0.0
2011-05-01,2.6589917528711795,6.361526977414198,0.49,1.0,5.835483871,139.9258065,57.0,16.5,0,7.868110608168329,7.145834101800071,0.0
2011-06-01,4.7861851551681225,6.130704614199486,1.93,0.0,5.45,130.55,60.0,24.5,0,8.31613404845368,7.449983925698863,0.0
2011-07-01,4.998904495397817,5.659203431258233,0.0,0.0,5.335483871,128.0,64.0,29.0,0,8.411755273807401,7.592540041787333,0.0
2011-08-01,6.062501196546289,4.882195678251343,0.0,0.0,4.34516129,104.3225806,62.0,33.0,1,7.0572111297546,7.276772838492585,0.0
2011-09-01,9.253291299991703,6.000275615386532,0.02,0.0,3.953333333,94.94,64.5,55.0,0,6.168294763636864,6.846223539608949,0.0
2011-10-01,9.359650970106552,4.065945087700403,0.97,0.0,3.329032258,79.86451613,76.0,42.0,1,5.70759886629393,6.831070759610341,0.0
2011-11-01,7.657896248268996,3.0378334495726262,0.8200000000000001,0.0,3.386666667,81.37,76.5,28.0,0,0.33088522975242907,6.952573087593422,0.0
2011-12-01,9.04057195976201,4.1751562049585145,0.02,1.0,2.835483871,68.10967742,140.0,56.5,0,0.9815449968060145,7.109846864501728,22.32
2012-01-01,9.297401693183632,3.503152104185149,1.47,0.0,3.280645161,78.9483871,120.0,26.0,0,0.1676731237881348,6.876483886094035,254.124
2012-02-01,7.712617313663694,3.1908877883280318,0.62,1.0,4.079310345,98.20689655,67.0,24.0,0,6.67282202772464,7.790190858104164,283.17
2012-03-01,5.81087605823977,4.6063694665635735,2.56,1.0,4.95483871,118.7193548,52.0,18.0,0,8.834402660732923,6.895179737276355,520.3425
2012-04-01,4.54304855462382,2.714694743820879,3.13,1.0,5.076666667,121.8333333,51.5,11.0,0,8.41617586628157,7.578930995017836,483.7425
2012-05-01,4.860005430527807,5.170029346246506,0.0,2.0,6.025806452,144.4225806,56.0,28.0,0,8.087762866897695,7.735953322187122,321.23
2012-06-01,2.5356550072319,6.4007556600496756,0.0,3.0,6.72,161.1533333,50.5,31.0,0,7.626277425081598,7.9321691708955235,321.3
2012-07-01,2.641307299199896,5.444882203629872,0.0,0.0,4.9,117.5870968,57.0,30.0,0,8.048454939355002,8.069680369150326,348.504
2012-08-01,3.486525634943862,5.5268463901385845,0.06,0.0,4.448387097,106.8806452,57.0,42.0,0,7.152107621813388,7.659293860163546,322.71000000000004
2012-09-01,2.5356550072319,3.462606009790799,0.0,0.0,3.536666667,84.97333333,63.0,55.5,0,5.8855136016252105,7.553640711749035,321.3
2012-10-01,2.218698131327912,2.4069451083182885,2.96,0.0,3.641935484,87.47741935,66.0,49.0,1,5.282995179074238,7.7616820197136995,312.264
2012-11-01,2.8526118831358867,4.6839813664123815,0.99,0.0,3.376666667,81.09333333,80.0,30.5,0,5.482009025573128,6.617927172111523,316.1325
2012-12-01,2.324350423295908,1.0986122886681098,1.74,0.0,4.319354839,103.8354839,67.0,18.5,0,4.48637225912881,6.787171249201714,300.4525
