Feature,Importance,window_size
FIRE_Acres_Burned,0.0,1
PRECIP,0.7774153,12
WIND_EventCount,0.21929026,1
WIND_AvgMPH,0.31583118,2
WIND_RunMiles,0.2980194,2
AQI_PM25,0.06897116,1
AQI_PM10,0.09729242,2
EARTHQUAKE_Total,0.026977539,1
PESTICIDE_Total,0.032924652,1
POUNDS_PRODUCT_APPLIED,-0.25557327,7
