Feature,Importance,window_size
PRECIP,-0.0016875267,1
WIND_EventCount,0.43052626,9
WIND_AvgMPH,0.07223868,1
WIND_RunMiles,1.4484103,11
AQI_PM25,0.009287834,2
AQI_PM10,-0.011670351,1
EARTHQUAKE_Total,0.00089788437,1
YJ_PESTICIDE_Total,0.09458685,1
log1p_RODENTICIDE_Total,0.1221621,1
Avg_Monthly_DSCI,0.83952117,10
