Feature,Importance
FIRE_Acres_Burned,0.04356146
PRECIP,0.18108928
WIND_EventCount,0.014990389
WIND_AvgMPH,0.068980455
WIND_RunMiles,-0.014737606
AQI_PM25,-0.023802757
AQI_PM10,0.06046337
EARTHQUAKE_Total,0.019720614
PESTICIDE_Total,0.07236868
POUNDS_PRODUCT_APPLIED,0.027094603
