feature,window_size,rmse
AQI_PM10,11,1.0879599
AQI_PM25,5,2.1007457
Avg_Monthly_DSCI,2,1.0698395
EARTHQUAKE_Total,11,2.0664024
FIRE_Acres_Burned,7,1.031209
PESTICIDE_Total,7,1.3414425
PRECIP,11,1.2658204
RODENTICIDE_Total,7,1.8382232
VFRate,4,1.064288
WIND_AvgMPH,7,1.872606
WIND_EventCount,9,1.79966
WIND_RunMiles,7,1.8778712
