feature,window_size,rmse
FIRE_Acres_Burned,1,1.7495413
FIRE_Acres_Burned,2,2.4216852
FIRE_Acres_Burned,3,1.8184302
FIRE_Acres_Burned,4,0.9001815
FIRE_Acres_Burned,5,2.8857367
FIRE_Acres_Burned,6,3.4916701
FIRE_Acres_Burned,7,1.0117531
FIRE_Acres_Burned,8,1.1815933
FIRE_Acres_Burned,9,1.4743689
FIRE_Acres_Burned,10,1.1151774
FIRE_Acres_Burned,11,2.5272627
FIRE_Acres_Burned,12,2.415507
PRECIP,1,1.0414944
PRECIP,2,1.435186
PRECIP,3,1.352985
PRECIP,4,0.9863776
PRECIP,5,1.944294
PRECIP,6,1.05985
PRECIP,7,1.0188957
PRECIP,8,1.0448798
PRECIP,9,1.1940062
PRECIP,10,1.739128
PRECIP,11,1.6178812
PRECIP,12,1.1724095
WIND_EventCount,1,2.2212121
WIND_EventCount,2,1.0848111
WIND_EventCount,3,1.8635508
WIND_EventCount,4,2.2064188
WIND_EventCount,5,0.99500316
WIND_EventCount,6,1.1176245
WIND_EventCount,7,1.1832272
WIND_EventCount,8,1.0951806
WIND_EventCount,9,1.3987919
WIND_EventCount,10,1.1391054
WIND_EventCount,11,1.0341502
WIND_EventCount,12,1.276651
WIND_AvgMPH,1,2.1430967
WIND_AvgMPH,2,1.2556136
WIND_AvgMPH,3,1.4313674
WIND_AvgMPH,4,1.2059761
WIND_AvgMPH,5,1.6927145
WIND_AvgMPH,6,0.96755207
WIND_AvgMPH,7,1.0643853
WIND_AvgMPH,8,1.4617133
WIND_AvgMPH,9,1.8555524
WIND_AvgMPH,10,0.9542644
WIND_AvgMPH,11,0.99706197
WIND_AvgMPH,12,2.2730618
WIND_RunMiles,1,1.526578
WIND_RunMiles,2,2.1493416
WIND_RunMiles,3,1.2360682
WIND_RunMiles,4,1.5408645
WIND_RunMiles,5,0.9632381
WIND_RunMiles,6,0.96736985
WIND_RunMiles,7,2.3307853
WIND_RunMiles,8,1.259347
WIND_RunMiles,9,0.99855876
WIND_RunMiles,10,0.9657598
WIND_RunMiles,11,0.9553544
WIND_RunMiles,12,1.4170219
AQI_PM25,1,0.98315215
AQI_PM25,2,1.331341
AQI_PM25,3,1.3705828
AQI_PM25,4,1.0070215
AQI_PM25,5,2.307304
AQI_PM25,6,0.9598064
AQI_PM25,7,1.0678282
AQI_PM25,8,0.980167
AQI_PM25,9,0.9927508
AQI_PM25,10,0.96513504
AQI_PM25,11,1.063834
AQI_PM25,12,1.1960875
AQI_PM10,1,0.9804883
AQI_PM10,2,2.027933
AQI_PM10,3,1.0656652
AQI_PM10,4,1.7843446
AQI_PM10,5,1.0387614
AQI_PM10,6,0.9758004
AQI_PM10,7,1.700212
AQI_PM10,8,1.0373403
AQI_PM10,9,1.0948281
AQI_PM10,10,1.1291676
AQI_PM10,11,1.4942553
AQI_PM10,12,3.006974
EARTHQUAKE_Total,1,1.2084285
EARTHQUAKE_Total,2,2.5245738
EARTHQUAKE_Total,3,1.7112067
EARTHQUAKE_Total,4,1.6267588
EARTHQUAKE_Total,5,1.3792535
EARTHQUAKE_Total,6,1.1482909
EARTHQUAKE_Total,7,1.2469513
EARTHQUAKE_Total,8,1.6555215
EARTHQUAKE_Total,9,1.2270658
EARTHQUAKE_Total,10,0.99863875
EARTHQUAKE_Total,11,1.0847383
EARTHQUAKE_Total,12,2.151771
PESTICIDE_Total,1,1.1639886
PESTICIDE_Total,2,1.9812078
PESTICIDE_Total,3,1.2717737
PESTICIDE_Total,4,2.944353
PESTICIDE_Total,5,1.5496238
PESTICIDE_Total,6,0.9883505
PESTICIDE_Total,7,2.898301
PESTICIDE_Total,8,0.9671221
PESTICIDE_Total,9,1.8167187
PESTICIDE_Total,10,1.2192128
PESTICIDE_Total,11,1.1242533
PESTICIDE_Total,12,2.7317777
RODENTICIDE_Total,1,0.9805582
RODENTICIDE_Total,2,1.2275752
RODENTICIDE_Total,3,1.0428007
RODENTICIDE_Total,4,2.9103832
RODENTICIDE_Total,5,1.7976779
RODENTICIDE_Total,6,1.2241849
RODENTICIDE_Total,7,1.6910833
RODENTICIDE_Total,8,2.5211706
RODENTICIDE_Total,9,1.4832886
RODENTICIDE_Total,10,1.752723
RODENTICIDE_Total,11,1.0000851
RODENTICIDE_Total,12,1.0028886
Avg_Monthly_DSCI,1,1.4089425
Avg_Monthly_DSCI,2,1.1635346
Avg_Monthly_DSCI,3,1.9600735
Avg_Monthly_DSCI,4,1.0710415
Avg_Monthly_DSCI,5,1.2034907
Avg_Monthly_DSCI,6,1.4363757
Avg_Monthly_DSCI,7,2.7085004
Avg_Monthly_DSCI,8,1.0434384
Avg_Monthly_DSCI,9,1.8865358
Avg_Monthly_DSCI,10,1.075637
Avg_Monthly_DSCI,11,2.13937
Avg_Monthly_DSCI,12,1.5634073
