feature,window_size,rmse
FIRE_Acres_Burned,1,2.6662462
FIRE_Acres_Burned,2,2.5836425
FIRE_Acres_Burned,3,2.3977082
FIRE_Acres_Burned,4,1.9881752
FIRE_Acres_Burned,5,2.1738544
FIRE_Acres_Burned,6,2.0871112
FIRE_Acres_Burned,7,1.7031031
FIRE_Acres_Burned,8,1.7803606
FIRE_Acres_Burned,9,1.5377042
FIRE_Acres_Burned,10,1.5297291
FIRE_Acres_Burned,11,1.4589643
FIRE_Acres_Burned,12,1.1767508
PRECIP,1,2.7726238
PRECIP,2,2.8445873
PRECIP,3,2.7084484
PRECIP,4,2.7128115
PRECIP,5,2.6999059
PRECIP,6,2.9787047
PRECIP,7,3.698472
PRECIP,8,2.2685983
PRECIP,9,1.5869601
PRECIP,10,1.8614856
PRECIP,11,0.9625015
PRECIP,12,1.3928946
WIND_EventCount,1,2.8548703
WIND_EventCount,2,2.9476657
WIND_EventCount,3,2.8686519
WIND_EventCount,4,2.884455
WIND_EventCount,5,3.1260965
WIND_EventCount,6,2.4319115
WIND_EventCount,7,2.8043447
WIND_EventCount,8,3.5337183
WIND_EventCount,9,2.6205266
WIND_EventCount,10,2.8122013
WIND_EventCount,11,2.871029
WIND_EventCount,12,2.8232036
WIND_AvgMPH,1,2.8638978
WIND_AvgMPH,2,2.9681294
WIND_AvgMPH,3,2.9008546
WIND_AvgMPH,4,2.620425
WIND_AvgMPH,5,2.7921584
WIND_AvgMPH,6,2.6908092
WIND_AvgMPH,7,2.7725158
WIND_AvgMPH,8,2.3055906
WIND_AvgMPH,9,3.7881517
WIND_AvgMPH,10,2.5622427
WIND_AvgMPH,11,3.3287737
WIND_AvgMPH,12,1.9767592
WIND_RunMiles,1,2.8838003
WIND_RunMiles,2,2.9488707
WIND_RunMiles,3,2.744049
WIND_RunMiles,4,2.666353
WIND_RunMiles,5,2.6938918
WIND_RunMiles,6,2.7084913
WIND_RunMiles,7,2.458617
WIND_RunMiles,8,2.2082455
WIND_RunMiles,9,4.9060383
WIND_RunMiles,10,3.781482
WIND_RunMiles,11,1.9963497
WIND_RunMiles,12,3.0659578
AQI_PM25,1,2.7334828
AQI_PM25,2,2.856758
AQI_PM25,3,2.8281214
AQI_PM25,4,2.774964
AQI_PM25,5,2.9059126
AQI_PM25,6,3.140127
AQI_PM25,7,3.4697993
AQI_PM25,8,3.0414615
AQI_PM25,9,4.0146
AQI_PM25,10,3.6371384
AQI_PM25,11,3.679702
AQI_PM25,12,4.1666417
AQI_PM10,1,2.7125435
AQI_PM10,2,2.7596703
AQI_PM10,3,3.1002972
AQI_PM10,4,3.132346
AQI_PM10,5,3.2574382
AQI_PM10,6,3.1195996
AQI_PM10,7,2.5712702
AQI_PM10,8,3.160739
AQI_PM10,9,2.0595207
AQI_PM10,10,2.2634463
AQI_PM10,11,1.8981107
AQI_PM10,12,0.8924537
EARTHQUAKE_Total,1,2.7118165
EARTHQUAKE_Total,2,2.703782
EARTHQUAKE_Total,3,2.8012164
EARTHQUAKE_Total,4,2.817491
EARTHQUAKE_Total,5,2.805328
EARTHQUAKE_Total,6,2.4772525
EARTHQUAKE_Total,7,3.2921562
EARTHQUAKE_Total,8,2.7072015
EARTHQUAKE_Total,9,2.9462423
EARTHQUAKE_Total,10,2.6697347
EARTHQUAKE_Total,11,2.632691
EARTHQUAKE_Total,12,1.4598101
PESTICIDE_Total,1,2.6517718
PESTICIDE_Total,2,2.767754
PESTICIDE_Total,3,2.9801955
PESTICIDE_Total,4,3.1269977
PESTICIDE_Total,5,2.4270077
PESTICIDE_Total,6,3.1464996
PESTICIDE_Total,7,2.5392237
PESTICIDE_Total,8,3.8398514
PESTICIDE_Total,9,3.0796337
PESTICIDE_Total,10,2.4303148
PESTICIDE_Total,11,1.8768382
PESTICIDE_Total,12,3.7213106
POUNDS_PRODUCT_APPLIED,1,2.7300222
POUNDS_PRODUCT_APPLIED,2,2.7621167
POUNDS_PRODUCT_APPLIED,3,2.6438627
POUNDS_PRODUCT_APPLIED,4,3.1283078
POUNDS_PRODUCT_APPLIED,5,2.7903686
POUNDS_PRODUCT_APPLIED,6,2.5433867
POUNDS_PRODUCT_APPLIED,7,3.1106849
POUNDS_PRODUCT_APPLIED,8,2.5395339
POUNDS_PRODUCT_APPLIED,9,2.780669
POUNDS_PRODUCT_APPLIED,10,2.6244166
POUNDS_PRODUCT_APPLIED,11,2.428659
POUNDS_PRODUCT_APPLIED,12,2.4059873
Avg_Monthly_DSCI,1,1.0956823
Avg_Monthly_DSCI,2,1.4039917
Avg_Monthly_DSCI,3,1.1198653
Avg_Monthly_DSCI,4,1.0724808
Avg_Monthly_DSCI,5,1.1027259
Avg_Monthly_DSCI,6,1.4171952
Avg_Monthly_DSCI,7,1.3887981
Avg_Monthly_DSCI,8,1.2127916
Avg_Monthly_DSCI,9,1.0862706
Avg_Monthly_DSCI,10,1.655888
Avg_Monthly_DSCI,11,1.0842669
Avg_Monthly_DSCI,12,1.2909806
