Feature,Importance
FIRE_Acres_Burned,0.0
PRECIP,0.7615404
WIND_EventCount,-0.21701479
WIND_AvgMPH,0.024932861
WIND_RunMiles,0.49920177
AQI_PM25,-0.13494396
AQI_PM10,-0.117752075
EARTHQUAKE_Total,0.04834938
PESTICIDE_Total,0.842906
POUNDS_PRODUCT_APPLIED,0.08561039
