Feature,Importance,window_size
FIRE_Acres_Burned,-0.21330023,12
PRECIP,-0.021125913,12
WIND_EventCount,0.009176731,2
WIND_AvgMPH,-0.038726926,12
WIND_RunMiles,-0.02536118,11
AQI_PM25,-0.079173446,4
AQI_PM10,-0.03909719,11
EARTHQUAKE_Total,-0.12233734,11
PESTICIDE_Total,-0.09391606,10
POUNDS_PRODUCT_APPLIED,-0.014521003,8
Avg_Monthly_DSCI,0.16007519,1
