Feature,Importance,window_size
FIRE_Acres_Burned,0.01173383,12
PRECIP,0.060004175,11
WIND_EventCount,0.0035834908,5
WIND_AvgMPH,0.08152825,6
WIND_RunMiles,0.04350835,4
AQI_PM25,-0.0016400814,7
AQI_PM10,0.11679101,5
EARTHQUAKE_Total,0.000277102,1
PESTICIDE_Total,0.11438668,6
RODENTICIDE_Total,0.0068508387,1
Avg_Monthly_DSCI,11.096564,9
