epoch,train_loss,test_loss
1,0.4472997486591339,0.1797977238893509
2,0.41501790285110474,0.15852710604667664
3,0.39302027225494385,0.13762320578098297
4,0.3646019399166107,0.11750386655330658
5,0.34051230549812317,0.099453866481781
6,0.3209919333457947,0.08648570626974106
7,0.30139297246932983,0.08384331315755844
8,0.27264082431793213,0.09592614322900772
9,0.25641387701034546,0.12171999365091324
10,0.2332138866186142,0.15568993985652924
11,0.2469535768032074,0.18994538486003876
12,0.24536597728729248,0.20910567045211792
13,0.2645862400531769,0.20953528583049774
14,0.2642902135848999,0.1990336775779724
15,0.259656697511673,0.18187348544597626
16,0.25449827313423157,0.16257086396217346
17,0.2595713138580322,0.14337058365345
18,0.22953981161117554,0.1275804340839386
19,0.2310573160648346,0.11552005261182785
20,0.2360338270664215,0.10698020458221436
21,0.23501844704151154,0.10140295326709747
22,0.24200910329818726,0.09810604900121689
23,0.2309274524450302,0.0968904197216034
24,0.24122467637062073,0.09701310843229294
25,0.24544067680835724,0.09797830134630203
26,0.2332300990819931,0.10017284750938416
27,0.24255473911762238,0.10345479100942612
28,0.2379048615694046,0.10765472799539566
29,0.23170141875743866,0.11226096004247665
30,0.23086315393447876,0.11744146794080734
31,0.2324693650007248,0.1222589835524559
32,0.2358618527650833,0.1259414106607437
33,0.23513135313987732,0.1279962658882141
34,0.24036753177642822,0.1286347210407257
35,0.22107502818107605,0.12735727429389954
36,0.2388429343700409,0.12468576431274414
37,0.23248690366744995,0.12087446451187134
38,0.22583815455436707,0.1164851039648056
39,0.22334304451942444,0.1119154617190361
40,0.22589163482189178,0.10706761479377747
41,0.2174621969461441,0.102633535861969
42,0.23993521928787231,0.09856241196393967
43,0.22028180956840515,0.0954769179224968
44,0.21860405802726746,0.09303773194551468
45,0.2220584601163864,0.09105391055345535
46,0.23070994019508362,0.08931125700473785
47,0.22480708360671997,0.08780387789011002
48,0.22485652565956116,0.086683489382267
49,0.21120482683181763,0.08573819696903229
50,0.22161465883255005,0.08497178554534912
51,0.20383918285369873,0.08367536962032318
52,0.20407645404338837,0.08253756910562515
53,0.2024395763874054,0.0814792588353157
54,0.19938522577285767,0.08039990812540054
55,0.20970453321933746,0.07926687598228455
56,0.19358687102794647,0.07830817252397537
57,0.20427553355693817,0.0784938707947731
58,0.19091199338436127,0.0800752267241478
59,0.196763277053833,0.08274267613887787
60,0.1887938380241394,0.08578214049339294
61,0.19139111042022705,0.08843070268630981
62,0.18791435658931732,0.0927189439535141
63,0.17250493168830872,0.09604344516992569
64,0.1621551215648651,0.10060629993677139
65,0.18009191751480103,0.11282793432474136
66,0.18571391701698303,0.12705595791339874
67,0.16963103413581848,0.13280034065246582
68,0.16266760230064392,0.13067889213562012
69,0.17749802768230438,0.1368599534034729
70,0.17163708806037903,0.15433558821678162
71,0.15576870739459991,0.16403119266033173
72,0.15760909020900726,0.1566862016916275
73,0.17632699012756348,0.1504107415676117
74,0.16529545187950134,0.1478894054889679
75,0.16082876920700073,0.155137300491333
76,0.15914668142795563,0.1498776525259018
77,0.15335634350776672,0.14518018066883087
78,0.16350387036800385,0.14512009918689728
79,0.14963306486606598,0.14609868824481964
80,0.15360775589942932,0.13812465965747833
81,0.14702007174491882,0.1302187740802765
82,0.1386389583349228,0.13183453679084778
83,0.1515531688928604,0.13221411406993866
84,0.14732994139194489,0.13197505474090576
85,0.1272001564502716,0.13490638136863708
86,0.1315404772758484,0.14730601012706757
87,0.14209719002246857,0.13839061558246613
88,0.13428376615047455,0.13227742910385132
89,0.14552876353263855,0.13964766263961792
90,0.1374780684709549,0.1429353654384613
91,0.13181540369987488,0.1325102299451828
92,0.12886695563793182,0.12292422354221344
93,0.11975476145744324,0.13900718092918396
94,0.13888019323349,0.1427285373210907
95,0.13384312391281128,0.12566077709197998
96,0.12121155858039856,0.1161295622587204
97,0.1267319917678833,0.12653875350952148
98,0.12501849234104156,0.13250882923603058
99,0.14160318672657013,0.1250220537185669
100,0.12676243484020233,0.10434427857398987
101,0.11751029640436172,0.09770209342241287
102,0.13375531136989594,0.1129598543047905
103,0.11106310039758682,0.1192682683467865
104,0.13788819313049316,0.10969306528568268
105,0.12762592732906342,0.0946144387125969
106,0.11842294037342072,0.0976032167673111
