Feature,Importance,window_size
log1p_FIRE_Acres_Burned,0.012504756,4
PRECIP,0.0034306347,1
WIND_EventCount,-0.0026349425,2
WIND_AvgMPH,0.047689974,6
WIND_RunMiles,0.01117298,4
AQI_PM25,0.0018115044,2
AQI_PM10,0.025305927,1
EARTHQUAKE_Total,-0.00016075373,1
YJ_PESTICIDE_Total,0.0021818578,1
log1p_RODENTICIDE_Total,0.0067647994,1
Avg_Monthly_DSCI,0.03252229,11
