epoch,train_loss,test_loss
1,0.5516571402549744,0.20196515321731567
2,0.4441760182380676,0.15347768366336823
3,0.3342163860797882,0.14935854077339172
4,0.2447967529296875,0.2278931587934494
5,0.3362644612789154,0.20448735356330872
6,0.28813204169273376,0.165745347738266
7,0.2371932566165924,0.1462898552417755
8,0.24176719784736633,0.1416826695203781
9,0.2576170861721039,0.14141741394996643
10,0.26674288511276245,0.14156198501586914
11,0.2616056203842163,0.14212200045585632
12,0.2503247559070587,0.1444697380065918
13,0.23042620718479156,0.14995062351226807
14,0.22056424617767334,0.15780344605445862
15,0.2201480120420456,0.16371586918830872
16,0.2308289110660553,0.16336412727832794
17,0.2272806018590927,0.15734036266803741
18,0.22509101033210754,0.14975666999816895
19,0.20924314856529236,0.14532604813575745
20,0.20222064852714539,0.14532612264156342
21,0.20497775077819824,0.14834679663181305
22,0.202683687210083,0.15224817395210266
23,0.20099443197250366,0.15600177645683289
24,0.1924942433834076,0.15965554118156433
25,0.17578864097595215,0.16461724042892456
26,0.16807647049427032,0.1740662306547165
27,0.17132970690727234,0.19104602932929993
28,0.16360467672348022,0.2160014659166336
29,0.14868755638599396,0.24515224993228912
30,0.15206868946552277,0.26979246735572815
31,0.1509227752685547,0.28409621119499207
32,0.14065566658973694,0.29065564274787903
33,0.15824273228645325,0.29474690556526184
34,0.15503598749637604,0.2959977090358734
35,0.14159506559371948,0.28957444429397583
36,0.14569437503814697,0.27599993348121643
37,0.14282532036304474,0.2592116594314575
38,0.13248583674430847,0.2436402142047882
39,0.13535015285015106,0.2328999936580658
40,0.13724374771118164,0.22692714631557465
41,0.13645873963832855,0.2233821004629135
42,0.13444268703460693,0.22017499804496765
43,0.13510316610336304,0.21684640645980835
44,0.13534009456634521,0.2145710289478302
45,0.1285623162984848,0.21468453109264374
46,0.13341575860977173,0.21832934021949768
47,0.13541707396507263,0.2255164086818695
48,0.12628039717674255,0.2339775264263153
49,0.12812656164169312,0.24081078171730042
50,0.12504267692565918,0.24560575187206268
51,0.12388574331998825,0.24995459616184235
52,0.1273157000541687,0.2559850215911865
53,0.12501807510852814,0.26273682713508606
54,0.12127113342285156,0.26584625244140625
