Feature,Importance,window_size
FIRE_Acres_Burned,-0.0036480427,9
PRECIP,0.3447894,11
WIND_EventCount,-0.06909263,12
WIND_AvgMPH,0.0669117,8
WIND_RunMiles,0.14800227,11
AQI_PM25,0.005554378,10
AQI_PM10,0.09787041,11
EARTHQUAKE_Total,0.030691862,7
PESTICIDE_Total,0.0016059875,12
POUNDS_PRODUCT_APPLIED,0.013180912,9
