feature,window_size,rmse
FIRE_Acres_Burned,1,2.6635935
FIRE_Acres_Burned,2,2.598879
FIRE_Acres_Burned,3,2.5636513
FIRE_Acres_Burned,4,2.4266613
FIRE_Acres_Burned,5,2.3490593
FIRE_Acres_Burned,6,2.7215407
FIRE_Acres_Burned,7,1.8600396
FIRE_Acres_Burned,8,1.6211802
FIRE_Acres_Burned,9,1.3709147
FIRE_Acres_Burned,10,1.4683335
FIRE_Acres_Burned,11,1.6256478
FIRE_Acres_Burned,12,1.4806433
PRECIP,1,2.783454
PRECIP,2,2.831952
PRECIP,3,2.7927577
PRECIP,4,2.814019
PRECIP,5,4.334839
PRECIP,6,2.6267323
PRECIP,7,3.0805938
PRECIP,8,3.0402017
PRECIP,9,1.7813414
PRECIP,10,1.8683563
PRECIP,11,0.9828743
PRECIP,12,1.1275519
WIND_EventCount,1,2.854414
WIND_EventCount,2,2.936187
WIND_EventCount,3,2.8927164
WIND_EventCount,4,2.7425365
WIND_EventCount,5,2.5496542
WIND_EventCount,6,2.5411267
WIND_EventCount,7,2.4043095
WIND_EventCount,8,2.9421504
WIND_EventCount,9,3.0863564
WIND_EventCount,10,2.7830422
WIND_EventCount,11,2.6388805
WIND_EventCount,12,1.8340596
WIND_AvgMPH,1,2.845168
WIND_AvgMPH,2,2.9871693
WIND_AvgMPH,3,2.8792827
WIND_AvgMPH,4,2.732673
WIND_AvgMPH,5,2.6953514
WIND_AvgMPH,6,3.0075383
WIND_AvgMPH,7,2.6509473
WIND_AvgMPH,8,2.1504297
WIND_AvgMPH,9,4.5653715
WIND_AvgMPH,10,2.9571698
WIND_AvgMPH,11,2.3355675
WIND_AvgMPH,12,2.5401895
WIND_RunMiles,1,2.8362913
WIND_RunMiles,2,2.9074008
WIND_RunMiles,3,2.9020462
WIND_RunMiles,4,2.6754715
WIND_RunMiles,5,2.482838
WIND_RunMiles,6,2.7625535
WIND_RunMiles,7,2.4108114
WIND_RunMiles,8,2.567624
WIND_RunMiles,9,2.513493
WIND_RunMiles,10,2.4046566
WIND_RunMiles,11,1.7539762
WIND_RunMiles,12,2.1262612
AQI_PM25,1,2.7460637
AQI_PM25,2,2.7356887
AQI_PM25,3,2.8900216
AQI_PM25,4,2.8551974
AQI_PM25,5,3.1541703
AQI_PM25,6,3.1727717
AQI_PM25,7,3.0438843
AQI_PM25,8,3.346654
AQI_PM25,9,3.5478923
AQI_PM25,10,2.4279184
AQI_PM25,11,2.6767843
AQI_PM25,12,2.5628579
AQI_PM10,1,2.7243335
AQI_PM10,2,2.8083668
AQI_PM10,3,3.0248609
AQI_PM10,4,2.898923
AQI_PM10,5,3.8499167
AQI_PM10,6,3.284302
AQI_PM10,7,2.4591138
AQI_PM10,8,2.3823507
AQI_PM10,9,1.9039586
AQI_PM10,10,2.0377116
AQI_PM10,11,1.5685526
AQI_PM10,12,2.8077974
EARTHQUAKE_Total,1,2.7648342
EARTHQUAKE_Total,2,2.7058113
EARTHQUAKE_Total,3,2.7337654
EARTHQUAKE_Total,4,2.85092
EARTHQUAKE_Total,5,2.8007064
EARTHQUAKE_Total,6,2.5690181
EARTHQUAKE_Total,7,2.5191379
EARTHQUAKE_Total,8,2.7785428
EARTHQUAKE_Total,9,2.6425052
EARTHQUAKE_Total,10,2.652406
EARTHQUAKE_Total,11,2.9812737
EARTHQUAKE_Total,12,2.574723
PESTICIDE_Total,1,2.7863262
PESTICIDE_Total,2,2.82329
PESTICIDE_Total,3,2.7467904
PESTICIDE_Total,4,3.3762438
PESTICIDE_Total,5,3.237221
PESTICIDE_Total,6,4.358493
PESTICIDE_Total,7,2.9923787
PESTICIDE_Total,8,4.231305
PESTICIDE_Total,9,2.4347682
PESTICIDE_Total,10,4.500583
PESTICIDE_Total,11,1.849415
PESTICIDE_Total,12,1.4615537
POUNDS_PRODUCT_APPLIED,1,2.6852672
POUNDS_PRODUCT_APPLIED,2,2.672705
POUNDS_PRODUCT_APPLIED,3,2.7457483
POUNDS_PRODUCT_APPLIED,4,3.2665381
POUNDS_PRODUCT_APPLIED,5,2.6127853
POUNDS_PRODUCT_APPLIED,6,2.4665918
POUNDS_PRODUCT_APPLIED,7,4.7610497
POUNDS_PRODUCT_APPLIED,8,2.1882982
POUNDS_PRODUCT_APPLIED,9,1.8460397
POUNDS_PRODUCT_APPLIED,10,3.3033762
POUNDS_PRODUCT_APPLIED,11,2.415236
POUNDS_PRODUCT_APPLIED,12,1.866664
