feature,window_size,rmse
FIRE_Acres_Burned,1,1.8934813
FIRE_Acres_Burned,2,2.5080078
FIRE_Acres_Burned,3,2.6928015
FIRE_Acres_Burned,4,2.199589
FIRE_Acres_Burned,5,1.5854778
FIRE_Acres_Burned,6,1.8862876
FIRE_Acres_Burned,7,1.5756717
FIRE_Acres_Burned,8,1.0657918
FIRE_Acres_Burned,9,1.0952919
FIRE_Acres_Burned,10,1.1351728
FIRE_Acres_Burned,11,1.2483879
FIRE_Acres_Burned,12,1.1061165
PRECIP,1,2.1307032
PRECIP,2,2.2747602
PRECIP,3,2.872666
PRECIP,4,2.462543
PRECIP,5,2.6099827
PRECIP,6,2.7974243
PRECIP,7,2.1714914
PRECIP,8,2.848392
PRECIP,9,2.259116
PRECIP,10,2.369789
PRECIP,11,1.8977745
PRECIP,12,0.9720416
WIND_EventCount,1,3.0762382
WIND_EventCount,2,3.3882124
WIND_EventCount,3,3.5451148
WIND_EventCount,4,1.9737835
WIND_EventCount,5,3.0648654
WIND_EventCount,6,2.2242749
WIND_EventCount,7,2.4593327
WIND_EventCount,8,2.8292692
WIND_EventCount,9,2.3778093
WIND_EventCount,10,2.517993
WIND_EventCount,11,1.9960895
WIND_EventCount,12,2.9965763
WIND_AvgMPH,1,2.6290398
WIND_AvgMPH,2,2.8860695
WIND_AvgMPH,3,2.6723607
WIND_AvgMPH,4,2.6026833
WIND_AvgMPH,5,2.5866067
WIND_AvgMPH,6,2.594867
WIND_AvgMPH,7,1.245998
WIND_AvgMPH,8,3.019768
WIND_AvgMPH,9,1.9708232
WIND_AvgMPH,10,1.5809045
WIND_AvgMPH,11,1.8571724
WIND_AvgMPH,12,2.1537263
WIND_RunMiles,1,1.3239664
WIND_RunMiles,2,2.6456335
WIND_RunMiles,3,3.538253
WIND_RunMiles,4,1.8340791
WIND_RunMiles,5,2.2881978
WIND_RunMiles,6,1.9778891
WIND_RunMiles,7,1.7765435
WIND_RunMiles,8,2.990838
WIND_RunMiles,9,1.9412746
WIND_RunMiles,10,3.1671839
WIND_RunMiles,11,1.8614701
WIND_RunMiles,12,3.0473454
AQI_PM25,1,1.9260633
AQI_PM25,2,3.3004632
AQI_PM25,3,2.6792312
AQI_PM25,4,2.8154685
AQI_PM25,5,3.0886047
AQI_PM25,6,3.0675235
AQI_PM25,7,2.0212402
AQI_PM25,8,2.9262645
AQI_PM25,9,3.0181043
AQI_PM25,10,2.3937201
AQI_PM25,11,2.2910721
AQI_PM25,12,3.819571
AQI_PM10,1,2.7214537
AQI_PM10,2,2.432928
AQI_PM10,3,2.1729674
AQI_PM10,4,2.9945114
AQI_PM10,5,2.983479
AQI_PM10,6,2.3383489
AQI_PM10,7,3.8026385
AQI_PM10,8,2.5620928
AQI_PM10,9,2.729807
AQI_PM10,10,1.8626498
AQI_PM10,11,2.6549306
AQI_PM10,12,1.878162
EARTHQUAKE_Total,1,2.1061187
EARTHQUAKE_Total,2,1.8864821
EARTHQUAKE_Total,3,2.4705105
EARTHQUAKE_Total,4,2.4200428
EARTHQUAKE_Total,5,3.0296195
EARTHQUAKE_Total,6,2.5727932
EARTHQUAKE_Total,7,2.0514724
EARTHQUAKE_Total,8,3.932061
EARTHQUAKE_Total,9,2.6755962
EARTHQUAKE_Total,10,2.4043846
EARTHQUAKE_Total,11,2.5169258
EARTHQUAKE_Total,12,2.8843865
PESTICIDE_Total,1,2.6863098
PESTICIDE_Total,2,3.164825
PESTICIDE_Total,3,3.0882826
PESTICIDE_Total,4,3.0762882
PESTICIDE_Total,5,2.0925815
PESTICIDE_Total,6,2.5270088
PESTICIDE_Total,7,3.418895
PESTICIDE_Total,8,3.1025686
PESTICIDE_Total,9,2.6746702
PESTICIDE_Total,10,2.8351042
PESTICIDE_Total,11,2.1583865
PESTICIDE_Total,12,2.3970535
RODENTICIDE_Total,1,1.9465442
RODENTICIDE_Total,2,2.408586
RODENTICIDE_Total,3,4.4311457
RODENTICIDE_Total,4,1.8556669
RODENTICIDE_Total,5,2.5589898
RODENTICIDE_Total,6,2.3237593
RODENTICIDE_Total,7,3.1464617
RODENTICIDE_Total,8,2.4592814
RODENTICIDE_Total,9,2.7407892
RODENTICIDE_Total,10,2.4607272
RODENTICIDE_Total,11,2.1169841
RODENTICIDE_Total,12,2.4761693
Avg_Monthly_DSCI,1,1.3501521
Avg_Monthly_DSCI,2,1.8356926
Avg_Monthly_DSCI,3,1.1081576
Avg_Monthly_DSCI,4,1.402312
Avg_Monthly_DSCI,5,1.3081598
Avg_Monthly_DSCI,6,1.2124763
Avg_Monthly_DSCI,7,1.3472246
Avg_Monthly_DSCI,8,1.6489422
Avg_Monthly_DSCI,9,1.0145595
Avg_Monthly_DSCI,10,1.352651
Avg_Monthly_DSCI,11,1.0383819
Avg_Monthly_DSCI,12,1.2856795
